"OBJECTID","gml_id","STNID","COOPID","WBANID","COBAN","BEG_DATE","END_DATE","NAME","COUNTRY","STATE","COUNTY","DIV","LATITUDE","LONGITUDE","ELEVATION","SE_ANNO_CAD_DATA","gml_geometry_property"
8837,"F306__9598","20010720  ","219249","99999","219249NNNNN","189412","201012","ZUMBROTA                     ","UNITED STATES                  ","MN","GOODHUE","09",44.280000,-92.650000,985.000000,"","Shape"
8895,"F306__9660","30001520  ","210146","99999","210146NNNNN","200308","201012","ALTURA 5W                    ","UNITED STATES                  ","MN","WINONA","09",44.050000,-92.030000,865.000000,"","Shape"
8896,"F306__9661","20011041  ","210157","99999","210157NNNNN","190501","201012","AMBOY                        ","UNITED STATES                  ","MN","BLUE EARTH","08",43.880000,-94.160000,1030.000000,"","Shape"
8897,"F306__9662","30003147  ","210190","99999","210190NNNNN","200706","201012","ANDOVER 1N                   ","UNITED STATES                  ","MN","ANOKA","06",45.250000,-93.280000,899.000000,"","Shape"
8898,"F306__9663","20011000  ","210195","99999","210195NNNNN","190204","197512","ANGUS 1 N                    ","UNITED STATES                  ","MN","POLK","01",48.100000,-96.700000,869.000000,"","Shape"
8899,"F306__9665","20010823  ","210287","99999","210287NNNNN","191704","201012","ARTICHOKE LAKE               ","UNITED STATES                  ","MN","BIG STONE","04",45.360000,-96.150000,1093.000000,"","Shape"
8900,"F306__9666","30002845  ","210300","99999","210300NNNNN","189905","190703","ASHBY                        ","UNITED STATES                  ","MN","GRANT","04",46.060000,-95.850000,1293.000000,"","Shape"
8901,"F306__9667","30002900  ","210307","99999","210307NNNNN","189205","189212","ASH CREEK                    ","UNITED STATES                  ","MN","LYON","01",43.500000,-96.160000,1399.000000,"","Shape"
8902,"F306__9668","12002686  ","210317","99999","210317NNNNN","189905","190610","ASHBY                        ","UNITED STATES                  ","MN","GRANT","99",46.250000,-95.760000,1293.000000,"","Shape"
8903,"F306__9669","20010642  ","210355","99999","210355NNNNN","193704","201012","AUSTIN WWT FAC               ","UNITED STATES                  ","MN","MOWER","09",43.650000,-92.960000,1199.000000,"","Shape"
8904,"F306__9670","30000792  ","210387","99999","210387NNNNN","199906","201012","BABBITT                      ","UNITED STATES                  ","MN","ST. LOUIS","03",47.700000,-91.950000,1481.000000,"","Shape"
8905,"F306__9671","20010960  ","210390","99999","210390NNNNN","192002","198607","BABBITT 2 SE                 ","UNITED STATES                  ","MN","ST. LOUIS","03",47.680000,-91.910000,1615.000000,"","Shape"
8906,"F306__9672","30002444  ","210432","99999","210432NNNNN","190601","194110","BAGLEY                       ","UNITED STATES                  ","MN","CLEARWATER","01",47.510000,-95.380000,1446.000000,"","Shape"
8907,"F306__9673","30002901  ","210475","99999","210475NNNNN","189311","189403","BARRETT                      ","UNITED STATES                  ","MN","POPE","04",45.750000,-95.750000,1165.000000,"","Shape"
8908,"F306__9674","20011046  ","210515","99999","210515NNNNN","190812","200912","BAUDETTE                     ","UNITED STATES                  ","MN","LAKE OF THE WOODS","02",48.700000,-94.580000,1062.000000,"","Shape"
8909,"F306__9675","20011014  ","210520","99999","210520NNNNN","196309","199002","BAUDETTE 21 SSE              ","UNITED STATES                  ","MN","LAKE OF THE WOODS","02",48.410000,-94.560000,1180.000000,"","Shape"
8910,"F306__9676","20010831  ","210541","99999","210541NNNNN","189305","197305","BEARDSLEY                    ","UNITED STATES                  ","MN","BIG STONE","04",45.550000,-96.710000,1089.000000,"","Shape"
8911,"F306__9677","30002902  ","210546","99999","210546NNNNN","190010","191501","BEAULIEU                     ","UNITED STATES                  ","MN","MAHNOMEN","01",47.330000,-95.760000,1200.000000,"","Shape"
